ax (m/s^2),ay (m/s^2),az (m/s^2)
0.7843,-0.8677,-0.3783
0.7688,-0.8764,-0.6357
0.7006,-0.9979,-0.8514
0.6493,-1.1604,-1.0164
0.5989,-1.2654,-1.1981
0.5332,-1.2939,-1.3674
0.4642,-1.1983,-1.5215
0.4327,-0.9835,-1.6452
0.4552,-0.6904,-1.7644
0.5148,-0.3573,-1.7879
0.54,-0.0794,-1.7412
0.5547,0.0826,-1.5401
0.5507,0.1422,-1.471
0.4833,0.3243,-1.3995
0.549,0.5295,-1.0401
0.7915,0.7517,-0.518
1.0682,0.9774,0.0052
1.2265,1.3154,0.3534
1.41,1.6832,0.4527
1.8017,1.8742,0.3652
2.253,1.9166,0.0827
2.536,1.9212,-0.3916
2.5442,1.9371,-1.0942
2.2398,1.9567,-1.8579
1.7641,1.9811,-2.5154
1.2052,1.9717,-3.2231
0.2497,2.4102,-3.5799
-0.9352,3.3461,-3.0903
-1.6396,3.9774,-1.8372
-1.5401,3.78,-0.1698
-0.7195,2.8601,1.4892
0.2445,1.5978,2.7503
0.8672,0.4842,3.7461
1.2464,-0.4823,4.5468
1.5224,-1.3186,4.9552
1.5263,-2.0446,4.8851
1.0458,-2.5325,4.4467
0.0314,-2.6128,3.708
-1.168,-2.3586,2.6171
-2.1495,-1.8566,1.3989
-2.6314,-1.2981,0.1874
-2.4586,-0.7607,-0.8728
-1.7806,-0.2833,-1.5916
-0.919,0.1911,-1.739
0.0248,0.5962,-1.4232
0.9268,0.7667,-0.841
1.6038,0.6419,-0.0654
1.9274,0.3719,0.929
1.8977,0.0211,1.7878
1.5639,-0.3142,2.4441
0.9782,-0.5508,2.776
0.1784,-0.6738,2.7873
-0.59,-0.6886,2.4504
-1.1597,-0.5855,1.8742
-1.5087,-0.4676,1.141
-1.6745,-0.4552,0.3718
-1.6992,-0.5903,-0.2763
-1.6166,-0.8753,-0.711
-1.4381,-1.2936,-0.9869
-1.3478,-1.6468,-1.051
-1.383,-1.8753,-1.0462
-1.5017,-2.0226,-1.0965
-1.7215,-2.1125,-1.1039
-1.9162,-2.1429,-1.0915
-2.026,-2.0352,-1.1111
-2.0357,-1.8281,-1.0869
-1.9879,-1.5244,-1.0318
-1.8462,-1.2109,-0.9753
-1.6703,-0.9622,-0.9065
-1.4455,-0.831,-0.8586
-1.1284,-0.7816,-0.8215
-0.8112,-0.8093,-0.8331
-0.5286,-0.8926,-0.8451
-0.3326,-0.984,-0.8786
-0.2305,-1.0044,-0.9424
-0.2371,-1.0072,-1.0665
-0.2861,-0.9949,-1.1973
-0.3207,-0.9507,-1.3998
-0.3648,-0.8716,-1.6301
-0.3922,-0.7617,-1.9003
-0.4589,-0.6126,-2.1419
-0.5367,-0.4444,-2.3833
-0.6292,-0.1751,-2.4113
-0.6649,0.1285,-2.2044
-0.7283,0.4325,-1.9171
-0.7734,0.7074,-1.5568
-0.774,0.9138,-1.1676
-0.7991,1.1196,-0.7162
-0.8866,1.4039,-0.2205
-1.0742,1.796,0.1287
-1.3357,2.0913,0.1617
-1.5107,2.285,-0.1161
-1.5589,2.3489,-0.5842
-1.4156,2.3512,-1.1713
-1.0278,2.2892,-1.9401
-0.531,2.2332,-2.8576
0.0496,2.2142,-3.6462
0.6886,2.2838,-4.1183
1.1236,2.5107,-4.0172
0.8279,2.6252,-3.1361
-0.1929,2.329,-1.6544
-1.4234,1.7069,0.2401
-2.3741,1.089,2.2482
-2.8746,0.5889,4.1276
-2.9202,0.03,5.5821
-2.5441,-0.6206,6.4922
-1.7912,-1.2914,6.7952
-0.7296,-1.7591,6.6852
0.4364,-1.9258,6.022
1.3051,-1.7468,4.7661
1.7263,-1.4562,3.094
1.6714,-1.1447,1.3367
1.2427,-0.844,-0.3538
0.5776,-0.4939,-1.7729
-0.15,-0.1851,-2.7046
-0.8307,0.0683,-3.0775
-1.4527,0.1559,-2.7768
-1.9501,0.0106,-1.8866
-2.211,-0.2631,-0.7096
-2.1888,-0.5678,0.542
-1.8845,-0.8418,1.7201
-1.294,-1.0568,2.619
-0.4827,-1.2833,3.0772
0.3559,-1.5067,3.0872
1.0447,-1.703,2.6176
